,MedGoRT,QuantGoRT,StDevGoRT,Ladd1Mean,Ladd2Mean,AvgSSD,PctDimErr,PctGoResp,SSRT_32steps,SSRTquantile,PctInhibLadd1,PctInhibLadd2,NumTRs_run1,NumTRs_run2
sub001,486.3,500.1,132.4,309.4,381.2,345.3,2.08,99.48,141.0,154.8,43.8,46.9,178,178
sub002,493.8,515.2,117.3,240.6,271.9,256.2,2.08,96.88,237.6,259.0,43.8,43.8,181,176
sub003,424.3,405.7,116.8,240.6,218.8,229.7,1.04,90.1,194.6,176.1,56.2,56.2,178,177
sub004,515.2,510.4,136.1,406.2,415.6,410.9,0.52,98.44,104.3,99.5,56.2,50.0,178,177
sub005,371.0,386.3,53.4,243.8,278.1,260.9,0.0,100.0,110.0,125.4,34.4,34.4,179,176
sub006,476.0,474.2,122.4,362.5,356.2,359.4,0.52,100.0,116.6,114.8,53.1,50.0,180,179
sub007,381.3,402.3,56.0,250.0,234.4,242.2,1.04,100.0,139.1,160.2,34.4,37.5,177,177
sub009,502.5,509.3,113.5,318.8,306.2,312.5,0.0,100.0,190.0,196.8,46.9,50.0,180,181
sub010,519.6,536.5,96.2,425.0,418.8,421.9,0.0,100.0,97.7,114.6,40.6,43.8,180,181
sub011,389.4,392.7,84.2,212.5,228.1,220.3,0.0,100.0,169.1,172.4,46.9,50.0,179,179
sub012,721.1,724.3,144.2,571.9,590.6,581.2,0.0,95.83,139.9,143.1,50.0,46.9,177,179
sub013,402.8,402.1,79.8,215.6,240.6,228.1,3.65,100.0,174.7,174.0,50.0,53.1,180,179
sub014,462.3,462.3,161.5,384.4,353.1,368.8,0.0,97.4,93.5,93.5,50.0,50.0,178,178
sub016,451.4,437.3,80.4,278.1,284.4,281.2,0.0,100.0,170.2,156.0,59.4,59.4,177,180
sub017,453.1,483.4,117.5,65.6,106.2,85.9,2.08,98.44,367.2,397.5,37.5,37.5,180,181
sub018,394.1,393.1,93.7,275.0,221.9,248.4,1.56,100.0,145.6,144.7,50.0,53.1,177,180
sub020,355.0,357.8,69.2,196.9,200.0,198.4,0.52,98.44,156.5,159.4,50.0,43.8,178,181
sub021,423.1,435.5,130.0,325.0,321.9,323.4,0.52,98.44,99.6,112.1,43.8,46.9,177,178
sub023,375.9,381.4,80.0,193.8,206.2,200.0,2.6,100.0,175.9,181.4,46.9,46.9,179,179
sub024,481.0,483.2,125.5,365.6,300.0,332.8,0.52,95.31,148.2,150.4,53.1,43.8,181,179
sub025,399.7,414.1,112.9,118.8,117.2,118.0,2.08,98.96,281.7,296.1,46.9,43.8,180,179
sub026,319.0,322.2,59.5,175.0,153.1,164.1,4.17,100.0,154.9,158.1,46.9,50.0,179,177
sub028,516.6,511.8,119.2,384.4,378.1,381.2,0.0,99.48,135.4,130.5,53.1,53.1,178,178
sub029,460.0,455.6,130.4,300.0,346.9,323.4,1.04,96.88,136.5,132.2,50.0,56.2,177,177
