,1_Att_Neut,1_Att_Neg,1_Supp_Neg,1_ANeg-SNeg,1_NumTRs,2_Att_Neut,2_Att_Neg,2_Supp_Neg,2_ANeg-SNeg,2_NumTRs,AVG_1_2_ANeg-SNeg,Att_Neut_Postscan_Rating,Att_Neg_Postscan_Rating,Suppr_Neg_Postscan_Rating,All_Neg_Postscan_Rating
sub001,1.0,2.6,1.6,1.0,196,1.0,1.8,1.6,0.2,196,0.6,1.0,3.2,3.1,3.15
sub002,1.0,2.5,1.4,1.1,196,1.0,3.5,1.3,2.2,196,1.65,1.0,5.75,5.85,5.8
sub003,1.2,2.3,1.3,1.0,196,1.0,2.11,1.78,0.33,196,0.665,1.2,4.35,4.35,4.35
sub004,1.1,2.11,1.7,0.41,196,1.0,2.6,1.5,1.1,196,0.755,1.0,3.7,3.15,3.425
sub005,1.1,2.6,2.9,-0.3,196,1.0,3.1,2.5,0.6,196,0.15,1.2,5.05,4.95,5.0
sub006,1.0,2.9,1.9,1.0,196,1.0,3.1,1.7,1.4,196,1.2,1.0,5.1,4.35,4.725
sub007,1.4,2.2,1.9,0.3,196,1.1,2.8,1.7,1.1,196,0.7,1.25,4.5,4.1,4.3
sub009,1.0,2.3,1.5,0.8,196,1.0,2.0,1.0,1.0,196,0.9,1.1,4.05,3.9,3.975
sub010,1.1,2.2,2.4,-0.2,196,1.0,2.33,2.0,0.33,196,0.065,1.05,4.1,4.65,4.375
sub011,1.0,1.9,1.6,0.3,196,1.0,2.2,1.7,0.5,196,0.4,1.0,3.95,4.1,4.025
sub012,1.0,2.2,1.3,0.9,196,1.0,1.6,1.3,0.3,196,0.6,1.0,3.4,3.7,3.55
sub013,1.0,2.5,1.8,0.7,196,1.0,3.0,1.3,1.7,196,1.2,1.05,5.35,5.0,5.175
sub014,1.0,2.6,1.89,0.71,196,1.0,3.0,1.8,1.2,196,0.955,1.2,5.1,5.25,5.175
sub016,1.1,2.3,1.6,0.7,196,1.1,3.1,1.6,1.5,196,1.1,1.15,4.25,4.55,4.4
sub017,1.0,3.0,2.11,0.89,196,1.0,2.5,2.1,0.4,196,0.645,1.05,5.1,5.15,5.125
sub018,1.0,2.4,1.7,0.7,196,1.0,1.8,1.9,-0.1,196,0.3,1.0,3.95,3.85,3.9
sub020,1.2,2.5,1.7,0.8,196,1.0,3.2,1.56,1.64,196,1.22,1.1,4.8,4.65,4.725
sub021,1.0,2.8,1.4,1.4,196,1.0,2.8,1.56,1.24,196,1.32,1.0,5.5,5.7,5.6
sub023,1.0,2.6,1.6,1.0,196,1.1,2.7,1.1,1.6,196,1.3,1.0,4.5,4.2,4.35
sub024,1.0,1.57,1.33,0.24,196,1.0,2.1,1.89,0.21,196,0.225,1.0,2.85,3.3,3.075
sub025,1.2,1.9,1.6,0.3,196,1.0,1.22,1.0,0.22,196,0.26,3.5,4.65,4.4,4.525
sub026,1.0,1.8,1.0,0.8,196,1.0,1.4,1.0,0.4,196,0.6,1.0,3.25,3.3,3.275
sub028,1.1,2.8,2.56,0.24,196,1.11,3.6,2.62,0.98,196,0.61,1.2,6.05,6.15,6.1
sub029,1.0,2.7,2.1,0.6,196,1.1,3.2,1.9,1.3,196,0.95,1.0,5.6,5.0,5.3
