,input_k,logit_k,rt_hard_plus,rt_hard_minus,rt_easy_plus,rt_easy_minus,abs(input-log),%del_resp,%consis_hard+,%consis_hard-,%consis_easy+,%consis_easy-,%consis_logit,numTRs,rt_hard_all,rt_easy_all
sub001,0.0014,0.0042,1155.0423,1178.5734,1118.4104,975.1455,0.0028,0.2083,0.25,0.875,0.4583,1.0,0.7917,290,1166.80785,1046.77795
sub002,0.0003,0.0014,850.4374,1027.0071,1113.4489,879.0477,0.0011,0.0417,0.0417,1.0,0.125,1.0,0.9479,290,938.72225,996.2483
sub003,0.0591,0.0646,1631.1324,1580.7464,1406.1942,1159.7158,0.0055,0.5,0.5,0.4167,0.9167,1.0,0.7083,290,1605.9394,1282.955
sub004,0.0016,0.0021,1421.2766,1252.4796,1404.3909,1452.3055,0.0005,0.4583,0.5833,0.4167,0.625,0.9167,0.5938,290,1336.8781,1428.3482
sub005,0.0032,0.004,1630.9357,1778.6458,1576.9301,1288.3467,0.0008,0.4688,0.5417,0.5417,0.875,1.0,0.7188,290,1704.79075,1432.6384
sub006,0.0033,0.0025,1500.1182,1580.9289999999999,1389.4775,1651.354,0.0008,0.6146,0.7917,0.3333,0.9583,0.9583,0.8438,290,1540.5236,1520.41575
sub007,0.0422,0.1252,1056.8526,897.7432,1057.0395,886.143,0.083,0.2604,0.1667,0.7083,0.5,0.875,0.7083,290,977.2979,971.59125
sub009,0.0019,0.0016,2153.3135,2520.1021,1820.0654,1606.1637,0.0003,0.5833,0.7083,0.4167,1.0,0.9583,0.8125,290,2336.7078,1713.11455
sub010,0.0179,0.0205,1633.0051,1514.1726,1663.6944,1335.7632,0.0026,0.5,0.5417,0.5,0.875,0.9167,0.6875,290,1573.58885,1499.7288
sub011,0.0011,0.0031,2163.5949,1836.2981,2292.4694,1261.7986,0.002,0.1562,0.0417,1.0,0.5833,1.0,0.8854,290,1999.9465,1777.134
sub012,0.0004,0.0002,917.5657,986.9869,854.9425,929.6354,0.0002,0.7396,0.9167,0.125,1.0,0.8333,0.9062,290,952.2763,892.28895
sub013,0.0042,0.0145,1148.0810000000001,1162.737,1172.9367,1047.5683,0.0103,0.2917,0.2917,0.6667,0.4167,0.875,0.7083,290,1155.4089999999999,1110.2525
sub014,0.0014,0.0008,1802.7222,2202.1883,1810.05,1188.3993,0.0006,0.6875,1.0,0.1667,0.9167,1.0,0.9375,290,2002.45525,1499.22465
sub016,0.0006,0.0023,1061.1059,906.3837,1068.0576,1024.4944,0.0017,0.0833,0.0833,1.0,0.25,1.0,0.9062,290,983.7448,1046.276
sub017,0.0057,0.0133,1046.7359,1085.8464,1128.1134,872.1030000000001,0.0076,0.3229,0.4167,0.6667,0.5417,1.0,0.6979,290,1066.29115,1000.1082
sub018,0.0011,0.0031,1856.5252,2025.9984,2270.9155,1581.7878,0.002,0.2083,0.25,0.9167,0.5,1.0,0.7917,290,1941.2618,1926.35165
sub020,0.0123,0.0067,1314.1109,1270.5568,1302.4977,1393.0498,0.0056,0.6875,1.0,0.125,0.9167,1.0,0.9375,290,1292.33385,1347.77375
sub021,0.0097,0.0029,1288.9555,1262.5747,1111.6052,1455.2012,0.0068,0.7812,0.9583,0.125,1.0,0.7083,0.8854,290,1275.7651,1283.4032
sub023,0.0043,0.0073,1404.4088,1546.0617,1369.4806,1166.7216,0.003,0.4062,0.5833,0.625,0.6667,1.0,0.6771,290,1475.23525,1268.1011
sub024,0.0009,0.0029,1471.088,1272.1748,1526.3747,1198.1512,0.002,0.0312,0.0,1.0,0.125,1.0,0.9583,290,1371.6314,1362.26295
sub025,0.001,0.0014,1486.2277,1534.5907,1518.2079999999999,1509.9029,0.0004,0.4688,0.5833,0.4167,0.625,0.9167,0.5938,290,1510.4092,1514.05545
sub026,0.0009,0.0029,901.3669,1011.9891,979.0335,829.8343,0.002,0.1875,0.1667,0.8333,0.4167,1.0,0.8125,290,956.678,904.4339
sub028,0.0103,0.0169,1394.9303,1305.1081,1367.7479999999998,1075.1898,0.0066,0.4062,0.375,0.5417,0.75,0.9583,0.7188,290,1350.0192,1221.4689
sub029,0.0068,0.0052,1705.5412,1794.8348,1751.0396,1649.0699,0.0016,0.5938,0.6667,0.2917,0.875,0.875,0.7812,290,1750.1879999999999,1700.05475
